task_1	task_2	task_2_N_test_pos	task_2_N_test_neg	acc	recall	precision	f1
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.9931666666666666	0.992	0.9943200801871033	0.9931586851326548
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.7263333333333334	0.992	0.6478014801915541	0.7837766657887806
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.8716666666666667	0.992	0.799570123589468	0.8854507587027669
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.6976666666666667	0.992	0.624422996223248	0.7664177182590781
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.9321666666666667	0.992	0.8859779696338196	0.9359962258216702
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.7541666666666667	0.992	0.6722385362548001	0.8014002962165073
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.8583333333333333	0.992	0.7827459231983167	0.8750367538959131
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.6345	0.992	0.5784256559766764	0.7307550644567219
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.9415	0.992	0.9009990917347865	0.9443122322703474
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.9415	0.992	0.9009990917347865	0.9443122322703474
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.9321666666666667	0.992	0.8859779696338196	0.9359962258216702
ONE_VS_ONE__1H0DE1__3VRL__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.8193333333333334	0.992	0.7373637264618434	0.8459351904491189
ONE_VS_ONE__1H0DE1__3VRL__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.5728333333333333	0.992	0.5396192203082503	0.6990017615971814
ONE_VS_ONE__1H0DE1__3VRL__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.5535	0.992	0.5285029302077784	0.6896072297532152
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.735	0.9946666666666667	0.6546731022378236	0.7896268854194233
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.9941666666666666	0.9946666666666667	0.9936729936729937	0.9941695818757288
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.817	0.9946666666666667	0.7338908017707821	0.8446079818850836
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.7046666666666667	0.9946666666666667	0.6295358649789029	0.7710594315245477
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.8471666666666666	0.9946666666666667	0.7680823680823681	0.8668119099491649
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.8793333333333333	0.9946666666666667	0.8082340195016251	0.8918111177525404
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.8215	0.9946666666666667	0.7387967318643228	0.8478477056400057
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.63	0.9946666666666667	0.5751734772552043	0.7288715192965315
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.968	0.9946666666666667	0.9443037974683545	0.9688311688311689
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.968	0.9946666666666667	0.9443037974683545	0.9688311688311689
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.8471666666666666	0.9946666666666667	0.7680823680823681	0.8668119099491649
ONE_VS_ONE__1H0DE1__1NSN__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.8203333333333334	0.9946666666666667	0.7375185368264953	0.8470053931308543
ONE_VS_ONE__1H0DE1__1NSN__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.9176666666666666	0.9946666666666667	0.8619295205083767	0.9235530795419375
ONE_VS_ONE__1H0DE1__1NSN__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.6658333333333334	0.9946666666666667	0.6000402171727327	0.7485262761821145
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.9238333333333333	0.9683333333333334	0.889194980104071	0.9270783468964418
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.6926666666666667	0.9683333333333334	0.6241942415126772	0.7590802194930755
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.9783333333333334	0.9683333333333334	0.9880952380952381	0.9781144781144783
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.9105	0.9683333333333334	0.867941440095608	0.915393099101938
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.9566666666666667	0.9683333333333334	0.9462540716612378	0.957166392092257
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.8451666666666666	0.9683333333333334	0.776945707408398	0.862145718949399
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.9681666666666666	0.9683333333333334	0.9680106631122959	0.9681719713381104
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.7145	0.9683333333333334	0.6422728277691797	0.7722982852585405
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.9335	0.9683333333333334	0.9052664381427236	0.9357384441939122
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.9335	0.9683333333333334	0.9052664381427236	0.9357384441939122
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.9566666666666667	0.9683333333333334	0.9462540716612378	0.957166392092257
ONE_VS_ONE__1H0DE1__3RAJ__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.8843333333333333	0.9683333333333334	0.8290525114155252	0.8932964329643296
ONE_VS_ONE__1H0DE1__3RAJ__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.5658333333333333	0.9683333333333334	0.5364727608494921	0.6904337492572787
ONE_VS_ONE__1H0DE1__3RAJ__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.5683333333333334	0.9683333333333334	0.537962962962963	0.6916666666666667
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.7916666666666666	0.9666666666666667	0.7160493827160493	0.8226950354609929
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.6116666666666667	0.9666666666666667	0.5653021442495126	0.7134071340713407
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.9308333333333333	0.9666666666666667	0.9020217729393468	0.9332260659694288
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.9766666666666667	0.9666666666666667	0.9863945578231292	0.9764309764309764
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.8653333333333333	0.9666666666666667	0.8037694013303769	0.8777239709443099
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.7606666666666667	0.9666666666666667	0.6846081208687441	0.8015478164731896
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.9156666666666666	0.9666666666666667	0.8771929824561403	0.9197589597209007
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.661	0.9666666666666667	0.5999172527927182	0.7403625223385244
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.8768333333333334	0.9666666666666667	0.8194405199208816	0.8869857776418413
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.8768333333333334	0.9666666666666667	0.8194405199208816	0.8869857776418413
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.8653333333333333	0.9666666666666667	0.8037694013303769	0.8777239709443099
ONE_VS_ONE__1H0DE1__5E94__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.8265	0.9666666666666667	0.7550117156990367	0.847829264727379
ONE_VS_ONE__1H0DE1__5E94__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.5201666666666667	0.9666666666666667	0.5106532840288783	0.6682797557322272
ONE_VS_ONE__1H0DE1__5E94__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.5338333333333334	0.9666666666666667	0.5181347150259067	0.6746539490519948
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.8818333333333334	0.988	0.8149573824580698	0.893174627090553
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.6781666666666667	0.988	0.6100020580366331	0.7542944394961193
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.8981666666666667	0.988	0.8375247244984458	0.9065606361829025
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.749	0.988	0.6684709066305818	0.7974172719935432
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.9878333333333333	0.988	0.987670776407864	0.9878353607732044
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.794	0.988	0.7118155619596542	0.8274706867671692
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.9181666666666667	0.988	0.8669201520912547	0.9235083346315626
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.66	0.988	0.5966183574879227	0.7439759036144579
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.9246666666666666	0.988	0.8769230769230769	0.9291536050156739
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.9246666666666666	0.988	0.8769230769230769	0.9291536050156739
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.9878333333333333	0.988	0.987670776407864	0.9878353607732044
ONE_VS_ONE__1H0DE1__1WEJ__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.8326666666666667	0.988	0.7538148524923703	0.8551644547028275
ONE_VS_ONE__1H0DE1__1WEJ__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.6421666666666667	0.988	0.5840394088669951	0.7341176470588235
ONE_VS_ONE__1H0DE1__1WEJ__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.5763333333333334	0.988	0.5418647166361974	0.6998819362455726
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.9263333333333333	0.9886666666666667	0.8790752815649081	0.9306557891433951
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.8916666666666667	0.9886666666666667	0.8280290340591848	0.9012458219386205
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.9385	0.9886666666666667	0.8985156013329294	0.9414378670052373
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.8491666666666666	0.9886666666666667	0.7729997393797238	0.8676320023402078
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.9685	0.9886666666666667	0.950336430631208	0.9691226923705277
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.9886666666666667	0.9886666666666667	0.9886666666666667	0.9886666666666667
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.9723333333333334	0.9886666666666667	0.9573918657198193	0.972777959986881
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.7581666666666667	0.9886666666666667	0.676705452886151	0.8034674251659216
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.9856666666666667	0.9886666666666667	0.9827700463883366	0.9857095380525093
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.9856666666666667	0.9886666666666667	0.9827700463883366	0.9857095380525093
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.9685	0.9886666666666667	0.950336430631208	0.9691226923705277
ONE_VS_ONE__1H0DE1__1ADQ__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.9181666666666667	0.9886666666666667	0.8664913818288051	0.9235559707301884
ONE_VS_ONE__1H0DE1__1ADQ__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.8846666666666667	0.9886666666666667	0.8184326710816777	0.8955314009661836
ONE_VS_ONE__1H0DE1__1ADQ__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.674	0.9886666666666667	0.6067921440261865	0.7520283975659229
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.7053333333333334	0.9923333333333333	0.6304531977975434	0.771043771043771
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.6013333333333334	0.9923333333333333	0.5568649457538346	0.7133956386292835
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.832	0.9923333333333333	0.7513881877839474	0.855214018960069
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.6738333333333333	0.9923333333333333	0.6061901852983099	0.7526229300973328
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.8691666666666666	0.9923333333333333	0.7962021930997593	0.8835138744620863
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.746	0.9923333333333333	0.664805716837874	0.7962021930997593
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.9938333333333333	0.9923333333333333	0.9953192912069542	0.9938240694374896
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.6541666666666667	0.9923333333333333	0.591966593756214	0.7415618383360318
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.8346666666666667	0.9923333333333333	0.7544348707551951	0.8571839907860639
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.8346666666666667	0.9923333333333333	0.7544348707551951	0.8571839907860639
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.8691666666666666	0.9923333333333333	0.7962021930997593	0.8835138744620863
ONE_VS_ONE__1H0DE1__1FBI__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.7643333333333333	0.9923333333333333	0.6815476190476191	0.8080890336590663
ONE_VS_ONE__1H0DE1__1FBI__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.6235	0.9923333333333333	0.571072319201995	0.7249482527699987
ONE_VS_ONE__1H0DE1__1FBI__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.5893333333333334	0.9923333333333333	0.5494647471391657	0.7072938940365883
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.8233333333333334	0.9786666666666667	0.7466937945066124	0.8470859780727064
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.8146666666666667	0.9786666666666667	0.7369477911646586	0.8407789232531501
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.8643333333333333	0.9786666666666667	0.7965274009766685	0.8782530661082859
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.7371666666666666	0.9786666666666667	0.6599235783322095	0.7882937307021077
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__1WEJ__0__42	3000	3000	0.9468333333333333	0.9786666666666667	0.9200877467878408	0.9484735906961719
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__1ADQ__0__42	3000	3000	0.8781666666666667	0.9786666666666667	0.8148764918123785	0.8892927457216416
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__1FBI__0__42	3000	3000	0.922	0.9786666666666667	0.8790419161676647	0.9261829652996846
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__2YPV__0__42	3000	3000	0.975	0.9786666666666667	0.971542025148908	0.9750913317834606
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__1OB1__0__42	3000	3000	0.9328333333333333	0.9786666666666667	0.8964885496183206	0.935776892430279
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__1OB1E1__0__42	3000	3000	0.9328333333333333	0.9786666666666667	0.8964885496183206	0.935776892430279
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_ONE__1H0DE1__1WEJE1__0__42	3000	3000	0.9468333333333333	0.9786666666666667	0.9200877467878408	0.9484735906961719
ONE_VS_ONE__1H0DE1__2YPV__0__42	ONE_VS_NINE__1H0DE1__auto__0__42	3000	3000	0.8805	0.9786666666666667	0.8180551685706325	0.8911822734861133
ONE_VS_ONE__1H0DE1__2YPV__0__42	HIGH_VS_95LOW__1H0DE1__auto__0__42	3000	3000	0.9485	0.9786666666666667	0.9229801949072619	0.9500080893059376
ONE_VS_ONE__1H0DE1__2YPV__0__42	HIGH_VS_LOOSER__1H0DE1__auto__0__42	3000	3000	0.7716666666666666	0.9786666666666667	0.6921263554926921	0.8108257387462027
ONE_VS_ONE__1H0DE1__1OB1__0__42	ONE_VS_ONE__1H0DE1__3VRL__0__42	3000	3000	0.891	0.9983333333333333	0.8218990120746432	0.9015653220951234
ONE_VS_ONE__1H0DE1__1OB1__0__42	ONE_VS_ONE__1H0DE1__1NSN__0__42	3000	3000	0.8696666666666667	0.9983333333333333	0.7940084835630965	0.8845245126993503
ONE_VS_ONE__1H0DE1__1OB1__0__42	ONE_VS_ONE__1H0DE1__3RAJ__0__42	3000	3000	0.849	0.9983333333333333	0.7687371663244353	0.8686194895591647
ONE_VS_ONE__1H0DE1__1OB1__0__42	ONE_VS_ONE__1H0DE1__5E94__0__42	3000	3000	0.784	0.9983333333333333	0.6987867475501633	0.822124622563821
