iter	Accuracy	CrossEntropy
0	0.6344827586	0.6919032428
1	0.7103448276	0.6903318615
2	0.7333333333	0.6893883207
3	0.7609195402	0.6877676243
4	0.7770114943	0.6862846901
5	0.8045977011	0.6844036248
6	0.816091954	0.6825595748
7	0.8597701149	0.6806682458
8	0.8735632184	0.6788616114
9	0.8873563218	0.6773409682
10	0.9103448276	0.6753274908
11	0.9034482759	0.6742176972
12	0.9126436782	0.6726639597
13	0.9172413793	0.6717951433
14	0.9264367816	0.6699063096
15	0.9264367816	0.6680715894
16	0.9310344828	0.6664783443
17	0.9333333333	0.6646484564
18	0.9287356322	0.6630623092
19	0.9333333333	0.6619183142
20	0.9448275862	0.6604135466
21	0.9448275862	0.6587365145
22	0.9402298851	0.6571462443
23	0.9448275862	0.6554870805
24	0.9448275862	0.6546870447
25	0.9448275862	0.6531499855
26	0.9448275862	0.6519584322
27	0.9448275862	0.6501272563
28	0.9494252874	0.6483507644
29	0.9517241379	0.6470757679
30	0.9471264368	0.6460807231
31	0.9494252874	0.6450485299
32	0.9494252874	0.642900925
33	0.9517241379	0.6413964167
34	0.9517241379	0.639887606
35	0.9517241379	0.6385679608
36	0.9540229885	0.6370632366
37	0.9540229885	0.6352706911
38	0.9586206897	0.6341104859
39	0.9563218391	0.6330088815
40	0.9563218391	0.6321456942
41	0.9563218391	0.6311579342
42	0.9586206897	0.6300065345
43	0.9563218391	0.6290962283
44	0.9632183908	0.6275944944
45	0.9632183908	0.6260045171
46	0.9609195402	0.6247022508
47	0.9655172414	0.6225259031
48	0.9655172414	0.6212904597
49	0.9655172414	0.6198007267
50	0.9655172414	0.618166214
51	0.9655172414	0.616883594
52	0.9701149425	0.6154183783
53	0.9724137931	0.6144994994
54	0.9701149425	0.6132611315
55	0.9701149425	0.6118055317
56	0.9701149425	0.611044873
57	0.9701149425	0.6101956579
58	0.967816092	0.6092296684
59	0.967816092	0.6078590889
60	0.967816092	0.6065631008
61	0.967816092	0.6053406838
62	0.9701149425	0.6042402387
63	0.9701149425	0.6029936084
64	0.9701149425	0.6016428421
65	0.967816092	0.6004421559
66	0.9701149425	0.5992924554
67	0.9701149425	0.5985119765
68	0.9701149425	0.5975574696
69	0.9701149425	0.5958507018
70	0.9724137931	0.5943250312
71	0.9724137931	0.5933030657
72	0.9724137931	0.59240232
73	0.9724137931	0.5916843794
74	0.9724137931	0.5905038034
75	0.9724137931	0.589388987
76	0.9724137931	0.5876445204
77	0.9724137931	0.5867627025
78	0.9747126437	0.5859919196
79	0.9747126437	0.5850428401
80	0.9747126437	0.58415664
81	0.9747126437	0.583262594
82	0.9747126437	0.5820660025
83	0.9747126437	0.581033031
84	0.9747126437	0.5795569774
85	0.9770114943	0.5785097531
86	0.9770114943	0.5770344133
87	0.9770114943	0.5759020938
88	0.9770114943	0.5748476181
89	0.9770114943	0.5735122256
90	0.9770114943	0.5723527454
91	0.9770114943	0.5711060338
92	0.9770114943	0.5701480472
93	0.9770114943	0.5695247104
94	0.9770114943	0.5685029439
95	0.9770114943	0.567025948
96	0.9770114943	0.566667574
97	0.9770114943	0.5652252778
98	0.9770114943	0.5643011852
99	0.9770114943	0.5631361716
100	0.9770114943	0.5620781421
101	0.9770114943	0.5609797513
102	0.9770114943	0.5599870851
103	0.9770114943	0.5593048677
104	0.9770114943	0.5582424146
105	0.9770114943	0.55722341
106	0.9770114943	0.5559222558
107	0.9770114943	0.554755669
108	0.9770114943	0.5533494329
109	0.9770114943	0.5528469618
110	0.9770114943	0.5520564298
111	0.9770114943	0.5513028103
112	0.9770114943	0.5504788995
113	0.9747126437	0.5490407263
114	0.9747126437	0.5482226627
115	0.9724137931	0.5472944912
116	0.9747126437	0.5462872152
117	0.9747126437	0.5447939644
118	0.9747126437	0.5437293428
119	0.9747126437	0.5431486765
120	0.9747126437	0.5424740938
121	0.9747126437	0.5414784175
122	0.9747126437	0.5406453377
123	0.9770114943	0.5396403888
124	0.9770114943	0.5383503446
125	0.9770114943	0.5364421045
126	0.9770114943	0.5348457013
127	0.9770114943	0.5332425617
128	0.9770114943	0.5320142621
129	0.9770114943	0.5308345223
130	0.9770114943	0.5301734764
131	0.9770114943	0.5290305108
132	0.9770114943	0.5279774424
133	0.9770114943	0.5270322115
134	0.9770114943	0.5264389998
135	0.9770114943	0.5250473236
136	0.9770114943	0.5239365227
137	0.9770114943	0.5227166997
138	0.9770114943	0.5216640472
139	0.9770114943	0.5202707801
140	0.9770114943	0.5195640729
141	0.9770114943	0.518925755
142	0.9770114943	0.5178529975
143	0.9770114943	0.5171760135
144	0.9770114943	0.5162659437
145	0.9770114943	0.5155867234
146	0.9770114943	0.5146256264
147	0.9770114943	0.5140306048
148	0.9770114943	0.5127923734
149	0.9770114943	0.5120937251
150	0.9770114943	0.510541102
151	0.9770114943	0.5093690311
152	0.9770114943	0.5087955387
153	0.9770114943	0.5076684489
154	0.9770114943	0.5067063218
155	0.9770114943	0.5058709416
156	0.9770114943	0.5050103369
157	0.9770114943	0.504429907
158	0.9770114943	0.5033871988
159	0.9770114943	0.5027914614
160	0.9770114943	0.5019394577
161	0.9770114943	0.5010161519
162	0.9770114943	0.5004187751
163	0.9770114943	0.499574094
164	0.9770114943	0.4988815349
165	0.9770114943	0.4980305259
166	0.9770114943	0.497209429
167	0.9770114943	0.4962957558
168	0.9770114943	0.4950632208
169	0.9770114943	0.4942242841
170	0.9770114943	0.4937182712
171	0.9770114943	0.492887854
172	0.9770114943	0.491909261
173	0.9770114943	0.4911102029
174	0.9770114943	0.4900846232
175	0.9770114943	0.4894160797
176	0.9770114943	0.4883486504
177	0.9770114943	0.4871977832
178	0.9770114943	0.486591135
179	0.9770114943	0.4857865564
180	0.9770114943	0.4850490774
181	0.9770114943	0.4839622539
182	0.9770114943	0.4832067859
183	0.9770114943	0.4818131011
184	0.9770114943	0.4814203453
185	0.9770114943	0.4807319708
186	0.9770114943	0.4796340572
187	0.9770114943	0.4789630323
188	0.9770114943	0.4781695076
189	0.9770114943	0.4773328408
190	0.9770114943	0.47638346
191	0.9770114943	0.4755953352
192	0.9770114943	0.4744648538
193	0.9770114943	0.4734281845
194	0.9770114943	0.4721661467
195	0.9770114943	0.4714853771
196	0.9770114943	0.4708421077
197	0.9770114943	0.4701681482
198	0.9770114943	0.4695748827
199	0.9770114943	0.4688535123
200	0.9770114943	0.4681978026
201	0.9770114943	0.4672565709
202	0.9770114943	0.4667072826
203	0.9770114943	0.4655734844
204	0.9770114943	0.4648055373
205	0.9770114943	0.4640291272
206	0.9770114943	0.4631363252
207	0.9770114943	0.462081002
208	0.9770114943	0.4609826532
209	0.9770114943	0.4602791998
210	0.9770114943	0.459298685
211	0.9770114943	0.4581763004
212	0.9770114943	0.4571201586
213	0.9770114943	0.4562648459
214	0.9770114943	0.4553530909
215	0.9770114943	0.4545023526
216	0.9770114943	0.453727772
217	0.9770114943	0.4528256686
218	0.9770114943	0.4519288057
219	0.9770114943	0.4513199788
220	0.9770114943	0.4503405068
221	0.9770114943	0.4495511828
222	0.9770114943	0.4489303782
223	0.9770114943	0.4479703611
224	0.9770114943	0.4473771006
225	0.9770114943	0.4469268481
226	0.9770114943	0.4462815346
227	0.9770114943	0.4454374276
228	0.9770114943	0.4448681534
229	0.9770114943	0.4438459268
230	0.9793103448	0.4433664396
231	0.9793103448	0.4426261873
232	0.9770114943	0.4419143164
233	0.9770114943	0.4413131993
234	0.9770114943	0.4403374507
235	0.9793103448	0.4394830443
236	0.9793103448	0.4386960064
237	0.9793103448	0.4378337955
238	0.9793103448	0.4369407378
239	0.9793103448	0.4363719386
240	0.9793103448	0.4358322353
241	0.9793103448	0.4348996009
242	0.9793103448	0.4339069738
243	0.9793103448	0.4332383567
244	0.9793103448	0.4320012213
245	0.9793103448	0.431492715
246	0.9793103448	0.4308276275
247	0.9793103448	0.4301740934
248	0.9793103448	0.4292517323
249	0.9793103448	0.4284069943
250	0.9793103448	0.4275259334
251	0.9793103448	0.4267375175
252	0.9793103448	0.4264099841
253	0.9793103448	0.4259170133
254	0.9793103448	0.4251888129
255	0.9793103448	0.424225357
256	0.9793103448	0.4234438274
257	0.9793103448	0.4225868413
258	0.9793103448	0.4220137584
259	0.9793103448	0.4210795716
260	0.9793103448	0.4200271754
261	0.9793103448	0.4191824237
262	0.9793103448	0.4186643089
263	0.9793103448	0.4179040027
264	0.9793103448	0.4169918045
265	0.9793103448	0.4164905338
266	0.9793103448	0.4154813443
267	0.9793103448	0.4147233701
268	0.9816091954	0.414046067
269	0.9816091954	0.4130904727
270	0.9816091954	0.4126347371
271	0.9816091954	0.4118195368
272	0.9816091954	0.4109093239
273	0.9816091954	0.4098126498
274	0.9816091954	0.408988488
275	0.9816091954	0.4082891139
276	0.9816091954	0.4077711236
277	0.9816091954	0.4072420445
278	0.9816091954	0.4063283481
279	0.9816091954	0.4055369952
280	0.9816091954	0.4047177274
281	0.9816091954	0.4042671939
282	0.9816091954	0.4039061479
283	0.9816091954	0.4030092296
284	0.9816091954	0.402469729
285	0.9816091954	0.4019946075
286	0.9816091954	0.401533091
287	0.9816091954	0.4008166026
288	0.9816091954	0.4000984078
289	0.9816091954	0.3995195094
290	0.9816091954	0.3989713337
291	0.9816091954	0.3984325472
292	0.9816091954	0.3979606034
293	0.9816091954	0.3971084056
294	0.9816091954	0.3966696006
295	0.9816091954	0.3959056736
296	0.9816091954	0.395264959
297	0.9816091954	0.394632861
298	0.9816091954	0.3941850691
299	0.9816091954	0.3935110422
300	0.9816091954	0.3925826665
301	0.9816091954	0.3917493967
302	0.9816091954	0.3910032841
303	0.9816091954	0.3904405103
304	0.9816091954	0.3900511967
305	0.9816091954	0.389440914
306	0.9816091954	0.388731118
307	0.9816091954	0.3878462012
308	0.9816091954	0.3874314377
309	0.9816091954	0.3869141801
310	0.9816091954	0.3863343583
311	0.9816091954	0.3856589135
312	0.9816091954	0.3849526249
313	0.9816091954	0.3841019048
314	0.9816091954	0.3836030307
315	0.9816091954	0.3830980042
316	0.9816091954	0.3821359863
317	0.9816091954	0.3814237637
318	0.9816091954	0.380770365
319	0.9816091954	0.380239316
320	0.9816091954	0.3794713123
321	0.9816091954	0.3785692182
322	0.9816091954	0.3776043659
323	0.9816091954	0.3769600985
324	0.9816091954	0.3764352708
325	0.9816091954	0.3758201032
326	0.9816091954	0.375341703
327	0.9816091954	0.3748058869
328	0.9816091954	0.3742617907
329	0.9816091954	0.3732236395
330	0.9816091954	0.3728016219
331	0.9816091954	0.3724349262
332	0.9816091954	0.371615316
333	0.9816091954	0.3710201741
334	0.9816091954	0.3708011474
335	0.9816091954	0.3703966186
336	0.9816091954	0.3700501148
337	0.9816091954	0.3693671125
338	0.9816091954	0.3688157846
339	0.9816091954	0.3681806667
340	0.9816091954	0.3672361122
341	0.9816091954	0.3665423373
342	0.9816091954	0.3659046582
343	0.9816091954	0.3653713576
344	0.9816091954	0.3646801944
345	0.9816091954	0.3640167037
346	0.9816091954	0.3634188772
347	0.9816091954	0.3630407231
348	0.9816091954	0.3624200145
349	0.9816091954	0.3620236782
350	0.9816091954	0.3616785868
351	0.9816091954	0.3610640556
352	0.9816091954	0.3605674191
353	0.9816091954	0.3601789175
354	0.9816091954	0.3594910668
355	0.9816091954	0.359069366
356	0.9816091954	0.3585292022
357	0.9816091954	0.3580155706
358	0.9816091954	0.3576623077
359	0.9816091954	0.3570842156
360	0.9816091954	0.3563951832
361	0.9816091954	0.3557813266
362	0.9816091954	0.3549314343
363	0.9816091954	0.3542403877
364	0.9816091954	0.3538230873
365	0.9816091954	0.353393507
366	0.9816091954	0.3527775473
367	0.9816091954	0.3521193999
368	0.9816091954	0.3517456875
369	0.9816091954	0.3512319041
370	0.9816091954	0.3507401713
371	0.9816091954	0.350362874
372	0.9816091954	0.3497961929
373	0.9816091954	0.3493440613
374	0.9816091954	0.3489234298
375	0.9816091954	0.3483721861
376	0.9816091954	0.3481005666
377	0.9816091954	0.3476841778
378	0.9816091954	0.3471958773
379	0.9816091954	0.3464482803
380	0.9816091954	0.3458664268
381	0.9816091954	0.3451841991
382	0.9816091954	0.3446140079
383	0.9816091954	0.3441110182
384	0.9816091954	0.3436006709
385	0.9816091954	0.3432470552
386	0.9816091954	0.3423919528
387	0.9816091954	0.3419141304
388	0.9816091954	0.3413537099
389	0.9816091954	0.3411183197
390	0.9816091954	0.3405245509
391	0.9816091954	0.3399437743
392	0.9816091954	0.3396135496
393	0.9816091954	0.3391777321
394	0.9816091954	0.3385622383
395	0.9816091954	0.3377773167
396	0.9816091954	0.3373321215
397	0.9816091954	0.3367267278
398	0.9816091954	0.3363752923
399	0.9816091954	0.3357032344
400	0.9816091954	0.3351572357
401	0.9816091954	0.3344539073
402	0.9816091954	0.3341321167
403	0.9816091954	0.3336729356
404	0.9816091954	0.333299108
405	0.9816091954	0.3325145314
406	0.9816091954	0.3320020572
407	0.9816091954	0.3315707053
408	0.9816091954	0.3309264641
409	0.9816091954	0.3301670843
410	0.9816091954	0.3293817793
411	0.9816091954	0.3291534102
412	0.9816091954	0.3286164465
413	0.9816091954	0.3282005411
414	0.9816091954	0.3276662418
415	0.9816091954	0.327210304
416	0.9816091954	0.3266287694
417	0.9816091954	0.3260558064
418	0.9816091954	0.3257609677
419	0.9816091954	0.3251942246
420	0.9816091954	0.3249009898
421	0.9816091954	0.3243577007
422	0.9816091954	0.3238451669
423	0.9816091954	0.3234390654
424	0.9816091954	0.3231748356
425	0.9816091954	0.3226403205
426	0.9816091954	0.3221615818
427	0.9816091954	0.3218350496
428	0.9816091954	0.3212110864
429	0.9816091954	0.3206396176
430	0.9816091954	0.3200016883
431	0.9816091954	0.3193445163
432	0.9816091954	0.3190352342
433	0.9816091954	0.3187338342
434	0.9816091954	0.3183324408
435	0.9816091954	0.3174119373
436	0.9816091954	0.3169822298
437	0.9816091954	0.3165346598
438	0.9816091954	0.3162998079
439	0.9816091954	0.3155866454
440	0.9816091954	0.3153302668
441	0.9816091954	0.3149947554
442	0.9816091954	0.3143406274
443	0.9816091954	0.3140051204
444	0.9816091954	0.3133277024
445	0.9816091954	0.3129800941
446	0.9816091954	0.3123460471
447	0.9816091954	0.3119263628
448	0.9816091954	0.3115314717
449	0.9816091954	0.3109621915
450	0.9816091954	0.3103984612
451	0.9816091954	0.3098813226
452	0.9816091954	0.3095418995
453	0.9816091954	0.3090945267
454	0.9816091954	0.3086743281
455	0.9816091954	0.3080395516
456	0.9816091954	0.3077493798
457	0.9816091954	0.3071767152
458	0.9816091954	0.3069280448
459	0.9816091954	0.3063409709
460	0.9816091954	0.30588383
461	0.9816091954	0.3055225019
462	0.9816091954	0.3051795815
463	0.9816091954	0.3047878543
464	0.9816091954	0.3042287637
465	0.9816091954	0.3036924189
466	0.9816091954	0.3031287669
467	0.9816091954	0.3029112351
468	0.9816091954	0.3025091831
469	0.9816091954	0.3019952361
470	0.9816091954	0.3016532172
471	0.9816091954	0.3011036651
472	0.9816091954	0.3007156718
473	0.9816091954	0.3002986359
474	0.9816091954	0.2998423646
475	0.9816091954	0.2993810078
476	0.9816091954	0.2989283893
477	0.9816091954	0.298686066
478	0.9816091954	0.2983378967
479	0.9816091954	0.2975938196
480	0.9816091954	0.296942291
481	0.9816091954	0.2966590166
482	0.9816091954	0.2963143058
483	0.9816091954	0.2957560402
484	0.9816091954	0.2952238772
485	0.9816091954	0.2946983148
486	0.9816091954	0.2942935709
487	0.9816091954	0.2935312231
488	0.9816091954	0.2931390127
489	0.9816091954	0.2924235163
490	0.9816091954	0.2920382545
491	0.9816091954	0.2916698338
492	0.9816091954	0.2910475534
493	0.9816091954	0.2906113297
494	0.9816091954	0.2901034135
495	0.9816091954	0.2894949084
496	0.9816091954	0.2892038316
497	0.9816091954	0.2886280968
498	0.9816091954	0.2881966017
499	0.9816091954	0.2878761538
