,neurons,activation,learning_rate,accuracy,task,target
0,5,relu,0.001,0.7383579638752052,vs_Weak,Q96GD4
1,5,relu,0.0005,0.7345922276956759,vs_Weak,Q96GD4
2,5,relu,0.0001,0.7364641488779421,vs_Weak,Q96GD4
3,10,relu,0.001,0.7480021893814998,vs_Weak,Q96GD4
4,10,relu,0.0005,0.7441707717569787,vs_Weak,Q96GD4
5,10,relu,0.0001,0.7459551176792556,vs_Weak,Q96GD4
6,20,relu,0.001,0.7613793103448275,vs_Weak,Q96GD4
7,20,relu,0.0005,0.7537383689107827,vs_Weak,Q96GD4
8,20,relu,0.0001,0.7460864805692391,vs_Weak,Q96GD4
9,30,relu,0.001,0.7728845101258894,vs_Weak,Q96GD4
10,30,relu,0.0005,0.7556759715380407,vs_Weak,Q96GD4
11,30,relu,0.0001,0.757536945812808,vs_Weak,Q96GD4
0,5,relu,0.001,0.7900821018062398,vs_all,Q96GD4
1,5,relu,0.0005,0.774767378215654,vs_all,Q96GD4
2,5,relu,0.0001,0.6752818828680898,vs_all,Q96GD4
3,10,relu,0.001,0.7805473453749315,vs_all,Q96GD4
4,10,relu,0.0005,0.7881554460864805,vs_all,Q96GD4
5,10,relu,0.0001,0.7862944718117131,vs_all,Q96GD4
6,20,relu,0.001,0.7920306513409962,vs_all,Q96GD4
7,20,relu,0.0005,0.7805801860974274,vs_all,Q96GD4
8,20,relu,0.0001,0.7805692391899287,vs_all,Q96GD4
9,30,relu,0.001,0.7920197044334976,vs_all,Q96GD4
10,30,relu,0.0005,0.7843787629994526,vs_all,Q96GD4
11,30,relu,0.0001,0.7996715927750411,vs_all,Q96GD4
0,5,relu,0.001,0.8244006568144499,vs_Non-binder,Q96GD4
1,5,relu,0.0005,0.8205801860974274,vs_Non-binder,Q96GD4
2,5,relu,0.0001,0.7956759715380405,vs_Non-binder,Q96GD4
3,10,relu,0.001,0.8206130268199233,vs_Non-binder,Q96GD4
4,10,relu,0.0005,0.8263382594417076,vs_Non-binder,Q96GD4
5,10,relu,0.0001,0.8206020799124247,vs_Non-binder,Q96GD4
6,20,relu,0.001,0.8397044334975369,vs_Non-binder,Q96GD4
7,20,relu,0.0005,0.8378106185002737,vs_Non-binder,Q96GD4
8,20,relu,0.0001,0.833968253968254,vs_Non-binder,Q96GD4
9,30,relu,0.001,0.8397153804050356,vs_Non-binder,Q96GD4
10,30,relu,0.0005,0.826360153256705,vs_Non-binder,Q96GD4
11,30,relu,0.0001,0.828232074438971,vs_Non-binder,Q96GD4
0,5,relu,0.001,0.7230432402846195,shuffled_weak,Q96GD4
1,5,relu,0.0005,0.7249370552818828,shuffled_weak,Q96GD4
2,5,relu,0.0001,0.7211275314723591,shuffled_weak,Q96GD4
3,10,relu,0.001,0.7288013136288999,shuffled_weak,Q96GD4
4,10,relu,0.0005,0.7383908045977011,shuffled_weak,Q96GD4
5,10,relu,0.0001,0.7249808429118773,shuffled_weak,Q96GD4
6,20,relu,0.001,0.746031746031746,shuffled_weak,Q96GD4
7,20,relu,0.0005,0.740295566502463,shuffled_weak,Q96GD4
8,20,relu,0.0001,0.7422112753147235,shuffled_weak,Q96GD4
9,30,relu,0.001,0.7480021893814998,shuffled_weak,Q96GD4
10,30,relu,0.0005,0.740295566502463,shuffled_weak,Q96GD4
11,30,relu,0.0001,0.738423645320197,shuffled_weak,Q96GD4
0,5,relu,0.001,0.766999983080385,vs_Weak,P49841
1,5,relu,0.0005,0.7619410182224252,vs_Weak,P49841
2,5,relu,0.0001,0.765291101974519,vs_Weak,P49841
3,10,relu,0.001,0.7854677427541749,vs_Weak,P49841
4,10,relu,0.0005,0.7669576840431112,vs_Weak,P49841
5,10,relu,0.0001,0.7787252762127134,vs_Weak,P49841
6,20,relu,0.001,0.8089521682486506,vs_Weak,P49841
7,20,relu,0.0005,0.782083819772262,vs_Weak,P49841
8,20,relu,0.0001,0.7820669001573525,vs_Weak,P49841
9,30,relu,0.001,0.7955349136253659,vs_Weak,P49841
10,30,relu,0.0005,0.8022350811295534,vs_Weak,P49841
11,30,relu,0.0001,0.7988426983401857,vs_Weak,P49841
0,5,relu,0.001,0.7585824746628766,vs_all,P49841
1,5,relu,0.0005,0.7669830634654756,vs_all,P49841
2,5,relu,0.0001,0.7585570952405124,vs_all,P49841
3,10,relu,0.001,0.7737170701994822,vs_all,P49841
4,10,relu,0.0005,0.7569158925942845,vs_all,P49841
5,10,relu,0.0001,0.7753244336158908,vs_all,P49841
6,20,relu,0.001,0.805559785459283,vs_all,P49841
7,20,relu,0.0005,0.7887839872764496,vs_all,P49841
8,20,relu,0.0001,0.7904590291524966,vs_all,P49841
9,30,relu,0.001,0.810610290509788,vs_all,P49841
10,30,relu,0.0005,0.7888009068913592,vs_all,P49841
11,30,relu,0.0001,0.7954672351657276,vs_all,P49841
0,5,relu,0.001,0.7988173189178215,vs_Non-binder,P49841
1,5,relu,0.0005,0.7988088591103666,vs_Non-binder,P49841
2,5,relu,0.0001,0.7819992216977142,vs_Non-binder,P49841
3,10,relu,0.001,0.8139011556096983,vs_Non-binder,P49841
4,10,relu,0.0005,0.807192528298056,vs_Non-binder,P49841
5,10,relu,0.0001,0.8038509043534169,vs_Non-binder,P49841
6,20,relu,0.001,0.8189516606602035,vs_Non-binder,P49841
7,20,relu,0.0005,0.8206182427287955,vs_Non-binder,P49841
8,20,relu,0.0001,0.8122345735411062,vs_Non-binder,P49841
9,30,relu,0.001,0.8189601204676582,vs_Non-binder,P49841
10,30,relu,0.0005,0.827360709270257,vs_Non-binder,P49841
11,30,relu,0.0001,0.8139180752246079,vs_Non-binder,P49841
0,5,relu,0.001,0.7250393381046648,shuffled_weak,P49841
1,5,relu,0.0005,0.7283978816642133,shuffled_weak,P49841
2,5,relu,0.0001,0.7250562577195744,shuffled_weak,P49841
3,10,relu,0.001,0.7468064226858196,shuffled_weak,P49841
4,10,relu,0.0005,0.7401400944114512,shuffled_weak,P49841
5,10,relu,0.0001,0.7250393381046648,shuffled_weak,P49841
6,20,relu,0.001,0.7720335685159806,shuffled_weak,P49841
7,20,relu,0.0005,0.7535065901900073,shuffled_weak,P49841
8,20,relu,0.0001,0.7418066764800434,shuffled_weak,P49841
9,30,relu,0.001,0.7854423633318106,shuffled_weak,P49841
10,30,relu,0.0005,0.7619494780298801,shuffled_weak,P49841
11,30,relu,0.0001,0.7585824746628766,shuffled_weak,P49841
0,5,relu,0.001,0.794973834732871,vs_Weak,Q13627
1,5,relu,0.0005,0.7848971644152368,vs_Weak,Q13627
2,5,relu,0.0001,0.7889375684556409,vs_Weak,Q13627
3,10,relu,0.001,0.803054642813679,vs_Weak,Q13627
4,10,relu,0.0005,0.7949616648411828,vs_Weak,Q13627
5,10,relu,0.0001,0.7929536327126687,vs_Weak,Q13627
6,20,relu,0.001,0.8070950468540831,vs_Weak,Q13627
7,20,relu,0.0005,0.8171108677132773,vs_Weak,Q13627
8,20,relu,0.0001,0.8050261652671291,vs_Weak,Q13627
9,30,relu,0.001,0.815175854934891,vs_Weak,Q13627
10,30,relu,0.0005,0.8070950468540831,vs_Weak,Q13627
11,30,relu,0.0001,0.7970183765364488,vs_Weak,Q13627
0,5,relu,0.001,0.7004624558841427,vs_all,Q13627
1,5,relu,0.0005,0.7647681635633443,vs_all,Q13627
2,5,relu,0.0001,0.7607277595229403,vs_all,Q13627
3,10,relu,0.001,0.7768772057928685,vs_all,Q13627
4,10,relu,0.0005,0.7708409395156384,vs_all,Q13627
5,10,relu,0.0001,0.7708165997322624,vs_all,Q13627
6,20,relu,0.001,0.7688572471705002,vs_all,Q13627
7,20,relu,0.0005,0.7909456005841548,vs_all,Q13627
8,20,relu,0.0001,0.7809054399415846,vs_all,Q13627
9,30,relu,0.001,0.7749056833394183,vs_all,Q13627
10,30,relu,0.0005,0.7789339174881343,vs_all,Q13627
11,30,relu,0.0001,0.7849215041986127,vs_all,Q13627
0,5,relu,0.001,0.8009614214433491,vs_Non-binder,Q13627
1,5,relu,0.0005,0.7868686868686868,vs_Non-binder,Q13627
2,5,relu,0.0001,0.7889375684556409,vs_Non-binder,Q13627
3,10,relu,0.001,0.8070220275039551,vs_Non-binder,Q13627
4,10,relu,0.0005,0.7969331872946331,vs_Non-binder,Q13627
5,10,relu,0.0001,0.8030181331386151,vs_Non-binder,Q13627
6,20,relu,0.001,0.8151028355847633,vs_Non-binder,Q13627
7,20,relu,0.0005,0.8110380917609833,vs_Non-binder,Q13627
8,20,relu,0.0001,0.8150419861263233,vs_Non-binder,Q13627
9,30,relu,0.001,0.8191554095168553,vs_Non-binder,Q13627
10,30,relu,0.0005,0.8150906656930753,vs_Non-binder,Q13627
11,30,relu,0.0001,0.8231471339905075,vs_Non-binder,Q13627
0,5,relu,0.001,0.7125471583302909,shuffled_weak,Q13627
1,5,relu,0.0005,0.7105391262017768,shuffled_weak,Q13627
2,5,relu,0.0001,0.6984057441888768,shuffled_weak,Q13627
3,10,relu,0.001,0.7327126688572472,shuffled_weak,Q13627
4,10,relu,0.0005,0.720603626627723,shuffled_weak,Q13627
5,10,relu,0.0001,0.718583424607521,shuffled_weak,Q13627
6,20,relu,0.001,0.7467323840817817,shuffled_weak,Q13627
7,20,relu,0.0005,0.7387002555677255,shuffled_weak,Q13627
8,20,relu,0.0001,0.7085189241815747,shuffled_weak,Q13627
9,30,relu,0.001,0.7487769258853595,shuffled_weak,Q13627
10,30,relu,0.0005,0.7527929901423877,shuffled_weak,Q13627
11,30,relu,0.0001,0.7387124254594134,shuffled_weak,Q13627
0,5,relu,0.001,0.7576042741788598,vs_Weak,P06239
1,5,relu,0.0005,0.7558132475259547,vs_Weak,P06239
2,5,relu,0.0001,0.7484467650213507,vs_Weak,P06239
3,10,relu,0.001,0.7778722198611702,vs_Weak,P06239
4,10,relu,0.0005,0.7705057373565661,vs_Weak,P06239
5,10,relu,0.0001,0.7631696112359095,vs_Weak,P06239
6,20,relu,0.001,0.7926254224596766,vs_Weak,P06239
7,20,relu,0.0005,0.7944265679072308,vs_Weak,P06239
8,20,relu,0.0001,0.7705360937405136,vs_Weak,P06239
9,30,relu,0.001,0.8092101268896849,vs_Weak,P06239
10,30,relu,0.0005,0.8054864104587862,vs_Weak,P06239
11,30,relu,0.0001,0.809159532916439,vs_Weak,P06239
0,5,relu,0.001,0.7925748284864307,vs_all,P06239
1,5,relu,0.0005,0.7760407180296683,vs_all,P06239
2,5,relu,0.0001,0.779703721692672,vs_all,P06239
3,10,relu,0.001,0.7871005605812235,vs_all,P06239
4,10,relu,0.0005,0.7852285835711249,vs_all,P06239
5,10,relu,0.0001,0.7999311921963855,vs_all,P06239
6,20,relu,0.001,0.8091696517110881,vs_all,P06239
7,20,relu,0.0005,0.8109809159532916,vs_all,P06239
8,20,relu,0.0001,0.7926051848703782,vs_all,P06239
9,30,relu,0.001,0.809159532916439,vs_all,P06239
10,30,relu,0.0005,0.8165260154210431,vs_all,P06239
11,30,relu,0.0001,0.8054864104587862,vs_all,P06239
0,5,relu,0.001,0.8256632869892538,vs_Non-binder,P06239
1,5,relu,0.0005,0.8164855402424464,vs_Non-binder,P06239
2,5,relu,0.0001,0.8035840770647401,vs_Non-binder,P06239
3,10,relu,0.001,0.836723129540809,vs_Non-binder,P06239
4,10,relu,0.0005,0.8201586627000991,vs_Non-binder,P06239
5,10,relu,0.0001,0.8312286240463035,vs_Non-binder,P06239
6,20,relu,0.001,0.8459109950822657,vs_Non-binder,P06239
7,20,relu,0.0005,0.8275555015886508,vs_Non-binder,P06239
8,20,relu,0.0001,0.8275453827940016,vs_Non-binder,P06239
9,30,relu,0.001,0.8514358569607188,vs_Non-binder,P06239
10,30,relu,0.0005,0.8330702446724546,vs_Non-binder,P06239
11,30,relu,0.0001,0.8293768846255034,vs_Non-binder,P06239
0,5,relu,0.001,0.7153987816971242,shuffled_weak,P06239
1,5,relu,0.0005,0.6970129318195616,shuffled_weak,P06239
2,5,relu,0.0001,0.6768158176997957,shuffled_weak,P06239
3,10,relu,0.001,0.7319733673324834,shuffled_weak,P06239
4,10,relu,0.0005,0.7135875174549208,shuffled_weak,P06239
5,10,relu,0.0001,0.7099042762026188,shuffled_weak,P06239
6,20,relu,0.001,0.7375285855948839,shuffled_weak,P06239
7,20,relu,0.0005,0.7301519842956307,shuffled_weak,P06239
8,20,relu,0.0001,0.7209843563434725,shuffled_weak,P06239
9,30,relu,0.001,0.7595875579300994,shuffled_weak,P06239
10,30,relu,0.0005,0.7466962135470423,shuffled_weak,P06239
11,30,relu,0.0001,0.733855463137231,shuffled_weak,P06239
0,5,relu,0.001,0.7177803983228511,vs_Weak,Q13464
1,5,relu,0.0005,0.7470780922431866,vs_Weak,Q13464
2,5,relu,0.0001,0.7428852201257863,vs_Weak,Q13464
3,10,relu,0.001,0.7659329140461216,vs_Weak,Q13464
4,10,relu,0.0005,0.7449816561844864,vs_Weak,Q13464
5,10,relu,0.0001,0.7324685534591197,vs_Weak,Q13464
6,20,relu,0.001,0.7931603773584905,vs_Weak,Q13464
7,20,relu,0.0005,0.7534591194968554,vs_Weak,Q13464
8,20,relu,0.0001,0.7367138364779876,vs_Weak,Q13464
9,30,relu,0.001,0.7931996855345913,vs_Weak,Q13464
10,30,relu,0.0005,0.7848139412997904,vs_Weak,Q13464
11,30,relu,0.0001,0.7722222222222223,vs_Weak,Q13464
0,5,relu,0.001,0.7598532494758911,vs_all,Q13464
1,5,relu,0.0005,0.6886530398322851,vs_all,Q13464
2,5,relu,0.0001,0.7410115303983229,vs_all,Q13464
3,10,relu,0.001,0.7661818658280923,vs_all,Q13464
4,10,relu,0.0005,0.7745545073375263,vs_all,Q13464
5,10,relu,0.0001,0.7556996855345912,vs_all,Q13464
6,20,relu,0.001,0.7892426624737946,vs_all,Q13464
7,20,relu,0.0005,0.7808176100628931,vs_all,Q13464
8,20,relu,0.0001,0.7766116352201259,vs_all,Q13464
9,30,relu,0.001,0.7913390985324948,vs_all,Q13464
10,30,relu,0.0005,0.7934224318658281,vs_all,Q13464
11,30,relu,0.0001,0.7745676100628932,vs_all,Q13464
0,5,relu,0.001,0.8057651991614255,vs_Non-binder,Q13464
1,5,relu,0.0005,0.8099449685534591,vs_Non-binder,Q13464
2,5,relu,0.0001,0.7974187631027254,vs_Non-binder,Q13464
3,10,relu,0.001,0.82458071278826,vs_Non-binder,Q13464
4,10,relu,0.0005,0.8225366876310272,vs_Non-binder,Q13464
5,10,relu,0.0001,0.8162211740041929,vs_Non-binder,Q13464
6,20,relu,0.001,0.8371462264150944,vs_Non-binder,Q13464
7,20,relu,0.0005,0.8454795597484277,vs_Non-binder,Q13464
8,20,relu,0.0001,0.8434486373165618,vs_Non-binder,Q13464
9,30,relu,0.001,0.8413390985324948,vs_Non-binder,Q13464
10,30,relu,0.0005,0.8371200209643606,vs_Non-binder,Q13464
11,30,relu,0.0001,0.8413390985324947,vs_Non-binder,Q13464
0,5,relu,0.001,0.7138626834381552,shuffled_weak,Q13464
1,5,relu,0.0005,0.7096567085953879,shuffled_weak,Q13464
2,5,relu,0.0001,0.7053590146750525,shuffled_weak,Q13464
3,10,relu,0.001,0.7243055555555555,shuffled_weak,Q13464
4,10,relu,0.0005,0.7222222222222223,shuffled_weak,Q13464
5,10,relu,0.0001,0.6930031446540882,shuffled_weak,Q13464
6,20,relu,0.001,0.7494365828092243,shuffled_weak,Q13464
7,20,relu,0.0005,0.7369234800838574,shuffled_weak,Q13464
8,20,relu,0.0001,0.7243186582809225,shuffled_weak,Q13464
9,30,relu,0.001,0.7473663522012579,shuffled_weak,Q13464
10,30,relu,0.0005,0.7306079664570232,shuffled_weak,Q13464
11,30,relu,0.0001,0.7326912997903564,shuffled_weak,Q13464
0,5,relu,0.001,0.7471910112359549,vs_Weak,P11309
1,5,relu,0.0005,0.7322097378277154,vs_Weak,P11309
2,5,relu,0.0001,0.7247191011235956,vs_Weak,P11309
3,10,relu,0.001,0.7584269662921348,vs_Weak,P11309
4,10,relu,0.0005,0.7397003745318352,vs_Weak,P11309
5,10,relu,0.0001,0.7340823970037453,vs_Weak,P11309
6,20,relu,0.001,0.745318352059925,vs_Weak,P11309
7,20,relu,0.0005,0.7415730337078652,vs_Weak,P11309
8,20,relu,0.0001,0.7621722846441948,vs_Weak,P11309
9,30,relu,0.001,0.7565543071161049,vs_Weak,P11309
10,30,relu,0.0005,0.7528089887640449,vs_Weak,P11309
11,30,relu,0.0001,0.7659176029962547,vs_Weak,P11309
0,5,relu,0.001,0.7696629213483147,vs_all,P11309
1,5,relu,0.0005,0.7790262172284644,vs_all,P11309
2,5,relu,0.0001,0.7715355805243446,vs_all,P11309
3,10,relu,0.001,0.7921348314606741,vs_all,P11309
4,10,relu,0.0005,0.7752808988764045,vs_all,P11309
5,10,relu,0.0001,0.7940074906367042,vs_all,P11309
6,20,relu,0.001,0.7734082397003745,vs_all,P11309
7,20,relu,0.0005,0.805243445692884,vs_all,P11309
8,20,relu,0.0001,0.7902621722846442,vs_all,P11309
9,30,relu,0.001,0.7958801498127341,vs_all,P11309
10,30,relu,0.0005,0.7827715355805243,vs_all,P11309
11,30,relu,0.0001,0.7883895131086143,vs_all,P11309
0,5,relu,0.001,0.7958801498127341,vs_Non-binder,P11309
1,5,relu,0.0005,0.698501872659176,vs_Non-binder,P11309
2,5,relu,0.0001,0.7865168539325843,vs_Non-binder,P11309
3,10,relu,0.001,0.8202247191011236,vs_Non-binder,P11309
4,10,relu,0.0005,0.8071161048689138,vs_Non-binder,P11309
5,10,relu,0.0001,0.7902621722846442,vs_Non-binder,P11309
6,20,relu,0.001,0.8127340823970037,vs_Non-binder,P11309
7,20,relu,0.0005,0.797752808988764,vs_Non-binder,P11309
8,20,relu,0.0001,0.8146067415730337,vs_Non-binder,P11309
9,30,relu,0.001,0.8164794007490638,vs_Non-binder,P11309
10,30,relu,0.0005,0.8108614232209739,vs_Non-binder,P11309
11,30,relu,0.0001,0.8071161048689138,vs_Non-binder,P11309
0,5,relu,0.001,0.7041198501872659,shuffled_weak,P11309
1,5,relu,0.0005,0.7078651685393259,shuffled_weak,P11309
2,5,relu,0.0001,0.7041198501872659,shuffled_weak,P11309
3,10,relu,0.001,0.7322097378277154,shuffled_weak,P11309
4,10,relu,0.0005,0.7209737827715356,shuffled_weak,P11309
5,10,relu,0.0001,0.7116104868913857,shuffled_weak,P11309
6,20,relu,0.001,0.7303370786516853,shuffled_weak,P11309
7,20,relu,0.0005,0.7191011235955056,shuffled_weak,P11309
8,20,relu,0.0001,0.7134831460674157,shuffled_weak,P11309
9,30,relu,0.001,0.7640449438202248,shuffled_weak,P11309
10,30,relu,0.0005,0.7340823970037453,shuffled_weak,P11309
11,30,relu,0.0001,0.7228464419475654,shuffled_weak,P11309
